airline,negative_count,neutral_count,positive_count,total,negative_pct,neutral_pct,positive_pct,average_score
US Airways,1884,667,362,2913,64.6755921730175,22.897356676965327,12.427051150017164,-0.4422545914236556
American,1536,668,400,2604,58.986175115207374,25.65284178187404,15.360983102918587,-0.3657952547127012
United,2118,1054,650,3822,55.4160125588697,27.577184720041863,17.006802721088434,-0.31873626000072935
Southwest,964,699,757,2420,39.83471074380165,28.884297520661157,31.28099173553719,-0.04898915184764692
Virgin America,169,142,193,504,33.53174603174603,28.174603174603174,38.29365079365079,0.0890521772777743
Delta,743,726,753,2222,33.43834383438344,32.67326732673267,33.88838883888389,0.030809993706756748
